name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
m1,5,34,33.37,22,0,53.2
m2,21,33,26.64,-0,49,20.9
m3,13,42,10.5,28,22,34.2
m4,16,23,33.69,-26,31,29.3
m5,15,18,31.93,2,4,54.6
m6,17,40,18.36,-32,15,11.1
m7,17,53,49.55,-34,47,36
m8,18,3,35.56,-24,22,41.1
m9,17,19,10.35,-18,30,56.7
m10,16,57,7.68,-4,5,58.1
m11,18,51,3.89,-6,16,10.1
m12,16,47,12.81,-1,56,51.6
m13,16,41,39.93,36,27,43.5
m14,17,37,34.83,-3,14,42.5
m15,21,29,57.92,12,10,8.4
m16,18,18,46.73,-13,48,24.3
m17,18,20,45.76,-16,10,18.7
m18,18,19,56.79,-17,6,6.8
m19,17,2,36.17,-26,16,2.8
m20,18,2,40.61,-22,58,19.2
m21,18,4,11.58,-22,29,24
m22,18,36,22.64,-23,54,18.4
m23,17,57,2.71,-18,59,5.3
m24,18,16,46.69,-18,32,59.8
m25,18,31,45.77,-19,7,1.5
m26,18,45,16.82,-9,22,57.5
m27,19,59,35.44,22,43,24.8
m28,18,24,31.55,-24,52,12.4
m29,20,23,54.95,38,31,35.9
m30,21,40,21.75,-23,10,52.4
m31,0,42,45.28,41,16,21.4
m32,0,42,42.76,40,52,8.5
m33,1,33,52.01,30,39,46
m34,2,42,6.67,42,45,52.2
m35,6,8,55.38,24,19,58.4
m36,5,36,19.6,34,8,23.7
m37,5,52,19.54,32,33,9.9
m38,5,28,44.61,35,51,17.9
m39,21,31,47.42,48,26,15.6
m40,12,22,11.39,58,4,44.6
m41,6,46,2.2,-20,45,18.4
m42,5,35,18.64,-5,23,24.4
m43,5,35,32.29,-5,16,8.4
m44,8,40,24.71,19,39,58.1
m45,3,47,1.46,24,7,5.9
m46,7,41,47.06,-14,48,29.2
m47,7,36,36.05,-14,28,52.2
m48,8,13,43.77,-5,44,55.2
m49,12,29,46.15,8,0,2.1
m50,7,2,48.61,-8,20,11.2
m51,13,29,51.32,47,11,34
m52,23,24,48.59,61,35,54
m53,13,12,54.35,18,10,3.4
m54,18,55,2.01,-30,28,50.7
m55,19,39,58.59,-30,57,58
m56,19,16,34.35,30,11,9.8
m57,18,53,33.72,33,1,53.9
m58,12,37,42.9,11,49,4.5
m59,12,42,1.6,11,38,48.5
m60,12,43,39.28,11,33,9
m61,12,21,54.35,4,28,26.6
m62,17,1,11.03,-30,6,42.8
m63,13,15,48.15,42,1,37.2
m64,12,56,42.85,21,40,54.2
m65,11,18,55.7,13,5,30.4
m66,11,20,14.76,12,59,27.2
m67,8,51,18.62,11,47,59.3
m68,12,39,27.2,-26,44,27.9
m69,18,31,21.67,-32,20,55.7
m70,18,43,11.37,-32,17,34.7
m71,19,53,45.54,18,46,53
m72,20,53,27.08,-12,32,15.3
m73,20,58,59.42,-12,37,49
m74,1,36,42.77,15,47,7.4
m75,20,6,3.94,-21,55,23.3
m76,1,42,21.54,51,34,44.2
m77,2,42,41.97,-0,0,44.7
m78,5,46,48.06,0,0,53.5
m79,5,24,12.06,-24,31,22.7
m80,16,17,0.93,-22,58,30.3
m81,9,55,33.87,69,3,37.3
m82,9,55,53.15,69,40,29.1
m83,13,36,59.81,-29,59,44.3
m84,12,25,3.11,12,53,12.1
m85,12,25,23.4,18,11,25.1
m86,12,26,11.17,12,56,44.4
m87,12,30,48.76,12,23,27.2
m88,12,31,58.54,14,25,12
m89,12,35,39.19,12,33,20.9
m90,12,36,49.12,13,9,45.3
m91,12,35,25.74,14,29,45.3
m92,17,17,5.54,43,8,14.1
m93,7,44,31.03,-23,51,16.3
m94,12,50,52.15,41,7,3.6
m95,10,43,57.69,11,42,11.9
m96,10,46,45.69,11,49,10.6
m97,11,14,47.32,55,0,53.9
m98,12,13,47.72,14,53,59.9
m99,12,18,49.02,14,24,57.8
m100,12,22,54.27,15,49,18.6
m101,14,3,10.75,54,20,46.9
m102,15,6,27.32,55,45,43.1
m103,1,33,24.98,60,39,14.4
m104,12,39,58.72,-11,37,16.4
m105,10,47,49.54,12,34,52.5
m106,12,18,56.75,47,18,1.9
m107,16,32,30.45,-13,3,10.5
m108,11,11,30.61,55,40,11.8
m109,11,57,35.2,53,22,14.6
m110,0,40,23.01,41,41,21.2
