name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
b1,3,32,57,31,9,0.0
b2,3,33,31,32,19,0.0
b3,3,40,1,31,58,0.0
b4,3,44,2,31,47,0.0
b5,3,47,53,32,53,0.0
b6,3,56,23,56,7,0.0
b8,4,17,50,55,14,0.0
b9,4,18,0,55,3,0.0
b7,4,17,25,28,33,0.0
b10,4,18,41,28,16,0.0
b11,4,26,37,55,2,0.0
b12,4,29,47,54,14,0.0
b13,4,31,18,54,53,0.0
b15,4,31,56,46,37,0.0
b16,4,32,26,46,36,0.0
b17,4,32,30,46,31,0.0
b18,4,31,13,24,21,0.0
b19,4,33,0,26,16,0.0
b20,4,37,4,50,58,0.0
b21,4,37,57,55,21,0.0
b22,4,38,0,26,3,0.0
b14,4,39,59,25,44,0.0
b23,4,40,33,29,52,0.0
b24,4,42,53,29,44,0.0
b25,4,52,4,46,0,0.0
b26,4,54,38,30,37,0.0
b27,4,55,8,30,33,0.0
b28,4,55,52,30,38,0.0
b29,5,6,23,31,35,0.0
b30,5,30,16,12,46,0.0
b31,5,32,1,12,45,0.0
b32,5,32,8,12,25,0.0
b33,5,40,52,-2,27,0.0
b34,5,43,30,32,38,0.0
b35,5,45,30,9,3,0.0
b36,5,49,0,7,25,0.0
b37,6,32,0,10,28,0.0
b38,6,33,41,11,4,0.0
b39,6,38,2,10,19,0.0
b40,16,14,38,-18,58,0.0
b41,16,22,17,-19,37,0.0
b42,16,25,0,-23,26,0.0
b43,16,30,0,-19,46,0.0
b44,16,40,0,-24,4,0.0
b44,16,44,45,-40,20,0.0
b45,16,46,0,-21,35,0.0
b46,16,57,12,-22,43,0.0
b47,16,59,42,-22,38,0.0
b48,17,1,0,-40,41,0.0
b49,17,2,39,-33,16,0.0
b50,17,2,54,-34,23,0.0
b51,17,4,44,-22,15,0.0
b53,17,6,0,-33,35,0.0
b54,17,6,34,-34,15,0.0
b55,17,7,33,-32,0,0.0
b56,17,8,48,-32,5,0.0
b57,17,8,22,-22,49,0.0
b58,17,11,12,-40,24,0.0
b59,17,11,23,-27,29,0.0
b60,17,11,51,-22,26,0.0
b61,17,14,59,-20,28,0.0
b62,17,16,12,-20,52,0.0
b63,17,16,0,-21,28,0.0
b64,17,17,18,-18,29,0.0
b65,17,19,36,-26,42,0.0
b66,17,19,57,-26,53,0.0
b67,17,20,57,-26,51,0.0
b67,17,22,30,-21,53,0.0
b68,17,22,36,-23,47,0.0
b69,17,22,55,-23,55,0.0
b71,17,23,2,-24,0,0.0
b70,17,23,32,-24,2,0.0
b72,17,23,35,-23,37,0.0
b73,17,24,8,-24,17,0.0
b74,17,25,8,-24,12,0.0
