name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ic1,0,8,27.05,27,43,3.6
ic2,0,11,0.88,-12,49,22.3
ic3,0,12,6.09,-0,24,54.8
ic4,0,13,26.94,17,29,11.2
ic5,0,17,34.93,-9,32,36.1
ic6,0,18,55.04,-3,16,33.9
ic7,0,18,53.16,10,35,40.9
ic8,0,19,2.72,-3,13,19.5
ic9,0,19,43.98,-14,7,18.8
ic10,0,20,17.34,59,18,13.6
ic11,0,52,59.35,56,37,18.8
ic12,0,20,15.05,-2,39,11.2
ic13,0,20,20.09,7,42,1.8
ic14,0,22,31.29,10,29,24.9
ic15,0,27,57.59,-0,3,40.6
ic16,0,28,7.65,-13,5,38.1
ic17,0,28,29.78,2,38,55.0
ic18,0,28,34.96,-11,35,12.1
ic19,0,28,39.48,-11,38,26.8
ic20,0,28,39.68,-13,0,37.1
ic21,0,29,10.43,-0,9,49.6
ic22,0,29,33.17,-9,4,50.7
ic23,0,30,50.8,-12,43,12.9
ic24,0,31,16.63,30,50,21.5
ic25,0,31,12.09,-0,24,26.5
ic26,0,31,45.94,-13,20,14.9
ic27,0,33,6.24,-13,22,17.4
ic28,0,33,8.72,-13,27,22.6
ic29,0,34,10.8,-2,10,39.5
ic30,0,34,14.72,-2,5,4.5
ic31,0,34,24.63,12,16,5.4
ic32,0,35,1.69,-2,8,30.1
ic33,0,35,5.16,-2,8,15.7
ic34,0,35,36.42,9,7,27.3
ic35,0,37,39.88,10,21,28.7
ic36,0,37,49.65,-15,26,28.6
ic37,0,38,34.18,-15,21,31.3
ic38,0,38,38.76,-15,25,11.4
ic39,0,39,8.4,-14,10,22.2
ic40,0,39,21.4,2,27,22.4
ic41,0,39,40.37,-14,10,27.6
ic42,0,41,5.84,-15,25,41.1
ic43,0,42,22.06,29,38,29.9
ic44,0,42,15.88,0,50,43.8
ic45,0,42,36.34,29,39,18.9
ic46,0,42,57.97,27,15,12.5
ic47,0,42,55.01,-13,44,26.6
ic48,0,43,34.47,-8,11,11.4
ic49,0,43,56.13,1,51,1.0
ic50,0,46,5.71,-9,30,10.8
ic51,0,46,24.22,-13,26,32.5
ic52,0,48,23.78,4,5,30.7
ic53,0,50,40.77,10,36,1.0
ic54,0,50,46.85,-2,17,16.0
ic55,0,51,42.39,7,43,6.7
ic56,0,51,29.94,-12,50,39.5
ic57,0,54,48.5,11,50,28.3
ic58,0,55,2.44,-13,40,41.1
ic59,0,57,28.61,61,8,37.2
ic60,0,56,4.23,-13,21,28.5
ic61,0,57,7.2,7,30,25.5
ic62,0,58,43.94,11,48,28.8
ic63,0,59,28.84,60,54,42.1
ic64,0,59,24.42,27,3,32.6
ic65,1,0,55.42,47,40,55.1
ic66,1,0,32.5,30,47,50.0
ic67,1,0,17.66,-6,54,38.7
ic68,1,0,21.65,-6,56,38.8
ic69,1,1,23.66,31,2,27.0
ic70,1,1,3.95,0,3,2.7
ic71,1,1,19.26,-6,46,1.8
ic72,1,1,34.71,-6,46,40.6
ic73,1,4,52.95,4,46,1.7
ic74,1,5,55.95,4,5,24.9
ic75,1,7,11.61,10,50,12.8
ic76,1,8,11.71,-4,33,16.2
ic77,1,8,43.75,-15,25,15.3
ic78,1,8,47.7,-15,50,42.3
ic79,1,8,49.71,-15,56,54.9
ic80,1,8,50.9,-15,24,27.0
ic0080 ned01,1,8,50.7,-15,24,32.2
ic0080 ned02,1,8,51.13,-15,24,22.7
ic81,1,9,22.26,-1,41,45.1
ic82,1,9,5.79,-16,0,1.1
ic83,1,10,29.78,1,41,21.7
ic84,1,11,25.6,1,38,24.7
ic85,1,11,49.55,-0,27,8.9
ic86,1,13,28.52,-16,14,30.0
ic87,1,14,15.79,0,45,55.2
ic88,1,14,31.3,0,47,30.3
ic89,1,16,3.61,4,17,38.8
ic90,1,16,30.35,-7,58,37.7
ic91,1,18,39.43,2,33,13.2
