name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ldn1,16,28,54.0,-16,7,0.0
ldn2,18,7,12.0,-31,30,0.0
ldn3,18,3,12.0,-31,0,0.0
ldn4,17,2,30.0,-22,12,0.0
ldn5,17,16,18.0,-24,25,0.0
ldn6,17,9,0.0,-23,14,0.0
ldn7,17,28,36.0,-26,17,0.0
ldn8,16,46,24.0,-19,15,0.0
ldn9,17,10,0.0,-23,14,0.0
ldn10,17,57,48.0,-30,6,0.0
ldn11,17,8,6.0,-22,54,0.0
ldn12,17,58,12.0,-30,7,0.0
ldn13,17,4,0.0,-22,10,0.0
ldn14,17,25,6.0,-25,33,0.0
ldn15,17,4,24.0,-22,10,0.0
ldn16,17,16,6.0,-24,3,0.0
ldn17,17,8,0.0,-22,44,0.0
ldn18,17,9,0.0,-22,54,0.0
ldn19,17,29,6.0,-26,2,0.0
ldn20,17,8,30.0,-22,44,0.0
ldn21,17,29,6.0,-25,56,0.0
ldn22,16,46,54.0,-18,55,0.0
ldn23,17,17,12.0,-23,58,0.0
ldn24,17,17,30.0,-24,1,0.0
ldn25,17,32,30.0,-26,11,0.0
ldn26,18,5,12.0,-30,30,0.0
ldn27,16,27,48.0,-15,7,0.0
ldn28,17,19,6.0,-24,3,0.0
ldn29,18,6,48.0,-30,38,0.0
ldn30,17,13,0.0,-23,4,0.0
ldn31,16,49,54.0,-19,5,0.0
ldn32,17,11,0.0,-22,39,0.0
ldn33,16,41,24.0,-17,26,0.0
ldn34,17,48,12.0,-28,1,0.0
ldn35,17,56,30.0,-29,4,0.0
ldn36,17,28,42.0,-25,12,0.0
ldn37,17,20,0.0,-23,53,0.0
ldn38,17,11,18.0,-22,29,0.0
ldn39,17,11,36.0,-22,30,0.0
ldn40,17,57,12.0,-29,4,0.0
ldn41,18,5,12.0,-30,0,0.0
ldn42,17,33,6.0,-25,42,0.0
ldn43,16,34,30.0,-15,50,0.0
ldn44,17,20,0.0,-23,43,0.0
ldn45,17,31,6.0,-25,22,0.0
ldn46,17,13,0.0,-22,34,0.0
ldn47,16,49,54.0,-18,35,0.0
ldn48,17,58,12.0,-29,0,0.0
ldn49,18,2,12.0,-29,30,0.0
ldn50,17,25,6.0,-24,23,0.0
ldn51,17,12,36.0,-22,21,0.0
ldn52,17,32,12.0,-25,21,0.0
ldn53,17,23,6.0,-23,55,0.0
