name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc1,0,7,15.84,27,42,29.1
ngc2,0,7,17.11,27,40,42.1
ngc3,0,7,16.8,8,18,5.9
ngc4,0,7,24.41,8,22,25.6
ngc5,0,7,48.87,35,21,44.3
ngc6,0,9,32.7,33,18,31.2
ngc7,0,8,20.96,-29,54,54.0
ngc8,0,8,45.3,23,50,20.0
ngc9,0,8,54.7,23,49,1.1
ngc10,0,8,34.54,-33,51,30.0
ngc11,0,8,42.5,37,26,52.5
ngc12,0,8,44.75,4,36,45.1
ngc13,0,8,47.72,33,26,0.0
ngc14,0,8,46.4,15,48,56.0
ngc15,0,9,2.47,21,37,28.3
ngc16,0,9,4.29,27,43,45.9
ngc17,0,11,6.55,-12,6,26.3
ngc18,0,9,23.1,27,43,55.5
ngc19,0,10,40.87,32,58,59.1
ngc20,0,9,32.7,33,18,31.2
ngc21,0,10,46.9,33,21,10.2
ngc22,0,9,48.19,27,49,56.3
ngc23,0,9,53.41,25,55,25.6
ngc24,0,9,56.54,-24,57,47.3
ngc25,0,9,59.28,-57,1,15.0
ngc26,0,10,25.87,25,49,54.6
ngc27,0,10,32.77,28,59,46.5
ngc28,0,10,25.24,-56,59,20.9
ngc29,0,10,46.9,33,21,10.2
ngc30,0,10,50.79,21,58,37.1
ngc31,0,10,38.39,-56,59,11.4
ngc32,0,10,53.59,18,47,45.6
ngc33,0,10,56.64,3,40,33.3
ngc34,0,11,6.55,-12,6,26.3
ngc35,0,11,10.48,-12,1,15.3
ngc36,0,11,22.3,6,23,21.7
ngc37,0,11,22.93,-56,57,26.4
ngc38,0,11,46.99,-5,35,10.6
ngc39,0,12,18.86,31,3,39.9
ngc40,0,13,1.03,72,31,19.0
ngc41,0,12,47.97,22,1,24.2
ngc42,0,12,56.35,22,6,1.1
ngc43,0,13,0.75,30,54,55.0
ngc44,0,13,13.4,31,17,10.5
ngc45,0,14,3.99,-23,10,55.5
ngc46,0,14,9.86,5,59,15.7
ngc47,0,14,30.64,-7,10,2.8
ngc48,0,14,2.19,48,14,5.5
ngc49,0,14,22.43,48,14,47.8
ngc50,0,14,44.57,-7,20,42.3
ngc51,0,14,34.92,48,15,20.5
ngc52,0,14,40.11,18,34,55.3
ngc53,0,14,42.85,-60,19,43.5
ngc54,0,15,7.67,-7,6,24.2
ngc55,0,14,53.6,-39,11,47.9
ngc56,0,15,20.66,12,26,40.3
ngc57,0,15,30.87,17,19,42.7
ngc58,0,14,30.64,-7,10,2.8
ngc59,0,15,25.13,-21,26,39.8
ngc60,0,15,58.24,-0,18,12.7
ngc61,0,16,24.2,-6,19,10.0
ngc0061a,0,16,24.34,-6,19,18.9
ngc0061b,0,16,24.07,-6,19,7.9
ngc62,0,17,5.42,-13,29,13.6
ngc63,0,17,45.52,11,27,1.2
ngc64,0,17,30.37,-6,49,28.6
ngc65,0,18,58.71,-22,52,49.3
ngc66,0,19,4.94,-22,56,11.0
ngc67,0,18,12.19,30,3,19.9
ngc68,0,18,18.49,30,4,18.3
ngc69,0,18,20.51,30,2,23.9
ngc70,0,18,22.54,30,4,46.5
ngc71,0,18,23.58,30,3,47.7
ngc72,0,18,28.37,30,2,26.5
ngc0072a,0,18,34.3,30,2,11.0
ngc73,0,18,39.01,-15,19,20.1
ngc74,0,18,49.34,30,3,43.1
ngc75,0,19,26.33,6,26,57.7
ngc76,0,19,37.79,29,56,1.9
ngc77,0,20,1.65,-22,31,55.6
ngc78,0,20,26.6,0,49,47.0
ngc0078a,0,20,25.79,0,49,34.8
ngc0078b,0,20,27.51,0,50,0.8
ngc79,0,21,2.85,22,33,59.7
ngc80,0,21,10.85,22,21,25.9
ngc81,0,21,13.27,22,22,58.4
ngc82,0,21,17.55,22,27,37.3
ngc83,0,21,22.4,22,26,1.0
ngc84,0,21,21.25,22,37,10.9
ngc85,0,21,25.53,22,30,42.4
ngc0085b,0,21,29.0,22,30,21.0
ngc86,0,21,28.57,22,33,23.1
ngc87,0,21,14.27,-48,37,41.6
ngc88,0,21,22.12,-48,38,24.6
ngc89,0,21,24.36,-48,39,55.1
ngc90,0,21,51.4,22,24,0.0
ngc91,0,21,51.72,22,22,6.1
ngc92,0,21,31.7,-48,37,29.1
ngc93,0,22,3.23,22,24,29.1
ngc94,0,22,13.53,22,28,59.0
ngc95,0,22,13.54,10,29,29.7
ngc96,0,22,17.71,22,32,46.5
ngc97,0,22,30.0,29,44,43.3
ngc98,0,22,49.54,-45,16,8.4
ngc99,0,23,59.39,15,46,13.5
ngc100,0,24,2.84,16,29,11.0
ngc101,0,23,54.61,-32,32,10.2
ngc102,0,24,36.53,-13,57,22.9
ngc103,0,25,16.4,61,19,24.5
ngc104,0,24,5.36,-72,4,53.2
ngc105,0,25,16.78,12,53,1.9
ngc106,0,24,43.75,-5,8,55.5
ngc107,0,25,42.2,-8,16,58.1
ngc108,0,25,59.73,29,12,43.4
ngc109,0,26,14.64,21,48,26.3
ngc110,0,27,25.01,71,23,29.5
ngc111,0,26,38.41,-2,37,29.9
ngc112,0,26,48.73,31,42,11.9
ngc113,0,26,54.64,-2,30,3.2
ngc114,0,26,58.23,-1,47,10.5
ngc115,0,26,46.28,-33,40,37.5
ngc116,0,27,5.23,-7,40,5.7
ngc117,0,27,11.07,1,20,1.4
ngc118,0,27,16.22,-1,46,48.5
ngc119,0,26,57.61,-56,58,41.0
ngc120,0,27,30.08,-1,30,48.5
ngc121,0,26,48.25,-71,32,8.4
ngc122,0,27,38.33,-1,38,25.7
ngc123,0,27,39.99,-1,37,39.5
ngc124,0,27,52.36,-1,48,36.7
ngc125,0,28,50.19,2,50,19.9
ngc126,0,29,8.1,2,48,40.0
ngc127,0,29,12.37,2,52,21.7
ngc128,0,29,15.06,2,51,50.6
ngc129,0,29,58.19,60,12,40.2
ngc130,0,29,18.55,2,52,13.6
ngc131,0,29,38.52,-33,15,35.1
ngc132,0,30,10.71,2,5,36.4
