name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
c1,0,48,34.87,85,15,35.5
c2,0,13,2.85,72,31,38
c3,12,16,40.48,69,27,28.9
c4,21,1,35.39,68,10,6.5
c5,3,46,52.09,68,5,51.3
c6,17,58,30.18,66,38,7.3
c7,7,36,53.75,65,35,57.3
c8,1,29,33.28,63,18,22
c9,22,57,17.24,62,28,52.5
c10,1,46,10.97,61,14,19.8
c11,23,20,48.82,61,12,25.3
c12,20,34,50.93,60,9,30.1
c13,1,19,36.73,58,17,28.1
c14,2,19,2.07,57,7,52.3
c15,19,44,46.68,50,31,43.8
c16,22,15,7.71,49,54,10.4
c17,0,33,13.12,48,30,47
c18,0,38,59.01,48,20,29.9
c19,21,53,23.61,47,16,18.1
c20,20,58,46.24,44,20,3.3
c21,12,28,10.24,44,5,26.4
c22,23,25,53.98,42,32,21.9
c23,2,22,34.45,42,21,4
c24,3,19,49.88,41,30,49
c25,7,38,9.75,38,52,48.2
c26,12,17,28.93,37,48,16.6
c27,20,12,5.92,38,21,30.7
c28,1,57,42.37,37,47,16.6
c29,13,10,55.25,37,3,25
c30,22,37,4.09,34,25,11.5
c31,5,17,25.63,34,22,48.6
c32,12,42,7.17,32,32,22.6
c33,20,56,18.27,31,44,47.2
c34,20,45,37.24,30,42,41.8
c35,13,0,7.19,27,58,32.2
c36,12,35,56.92,27,57,29.5
c37,20,12,0.05,26,28,51
c38,12,36,20.05,25,59,9.6
c39,7,29,11.84,20,54,40.4
c40,11,20,3.53,18,21,21.1
c41,4,27,1.42,15,52,3.4
c42,21,1,28.89,16,11,24.7
c43,0,3,15.47,16,8,51.1
c44,23,4,56.83,12,19,29.8
c45,13,37,31.09,8,53,7.1
c46,6,39,11.14,8,44,11.2
c47,20,34,10.65,7,24,21.5
c48,9,10,20.63,7,2,17.3
c49,6,30,30.01,5,3,2.3
c50,6,31,56.17,4,56,33.5
c51,1,4,48.62,2,7,7.7
c52,12,48,35.16,-5,47,58.2
c53,10,5,14.17,-7,34,1.1
c54,8,0,1.84,-10,46,6
c55,21,4,10.32,-11,21,48.9
c56,0,47,4.09,-11,52,19.4
c57,19,44,55.23,-14,47,52.1
c58,7,17,44.05,-15,38,24.6
c59,10,24,46.19,-18,38,23.1
c60,12,1,52.48,-18,51,54.2
c61,12,1,53.17,-18,52,59
c62,0,47,9.34,-20,45,40.7
c63,22,29,38.49,-20,50,18
c64,7,18,42.19,-24,57,9.6
c65,0,47,33.95,-25,17,24.3
c66,14,39,35.19,-26,32,10.7
c67,2,46,20.46,-30,16,31.8
c68,19,1,45.01,-36,57,44.7
c69,13,10,55.25,37,3,25
c70,0,54,54.45,-37,41,11.7
c71,7,52,11.24,-38,31,35.9
c72,0,14,54.33,-39,11,57.3
c73,5,14,8.53,-40,2,43.1
c74,10,7,2,-40,25,55.5
c75,16,25,18.11,-40,39,7.7
c76,16,54,6.67,-41,49,34.7
c77,13,25,26.37,-43,0,56.1
c78,18,8,0.61,-43,42,56.8
c79,10,17,36.99,-46,24,27.9
c80,13,26,45.92,-47,28,32.8
c81,17,25,27.09,-48,25,20.9
c82,16,41,17.84,-48,45,45
c83,13,5,26.01,-49,27,49.9
c84,13,46,25.2,-51,22,14.4
c85,8,40,33.03,-53,1,42.6
c86,17,40,39.87,-53,40,30.2
c87,3,12,18.44,-55,13,2.7
c88,15,5,28.97,-55,35,33.6
c89,16,18,47.35,-57,56,2.9
c90,9,21,26.19,-58,18,22.5
c91,11,5,38.8,-58,44,51.8
c92,10,44,18.93,-59,53,1.8
c93,19,10,49.96,-59,59,13.9
c94,12,53,37.33,-60,21,26.9
c95,16,3,14.3,-60,25,51
c96,7,58,5.88,-60,44,55.5
c97,11,36,17.27,-61,36,35
c98,12,42,16.44,-62,59,24.9
c99,12,49,58.38,-62,29,43.3
c100,11,38,19.6,-63,22,2.9
c101,19,9,43.65,-63,51,37.1
c102,10,42,58.01,-64,23,40.1
c103,5,38,45.7,-69,5,53.8
c104,1,3,16.74,-70,51,10.2
c105,12,59,31.49,-70,52,18.6
c106,0,24,7.35,-72,5,9.7
c107,16,25,43.65,-72,12,5.9
c108,12,25,43.34,-72,39,14.3
c109,10,9,21.97,-80,51,10.1
