name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
lbn1,17,45,10.5,-28,51,12
lbn2,17,48,11.0,-29,10,59
lbn3,17,47,10.4,-28,46,03
lbn4,17,51,10.7,-28,55,46
lbn5,16,40,53.6,-17,35,45
lbn6,16,36,52.3,-16,36,02
lbn7,16,33,51.2,-15,46,14
lbn8,15,50,39.6,-05,59,01
lbn9,17,46,06.6,-26,11,08
lbn10,15,53,38.4,-04,41,50
lbn11,15,50,37.7,-04,03,01
lbn12,16,30,46.6,-11,46,26
lbn13,16,12,42.1,-08,02,38
lbn14,17,55,04.7,-24,50,28
lbn15,15,51,37.4,-03,44,57
lbn16,16,32,46.1,-11,16,18
lbn17,16,10,41.1,-07,05,45
lbn18,15,50,36.6,-02,54,01
lbn19,15,50,36.5,-02,49,01
lbn20,16,26,44.1,-09,36,42
lbn21,16,28,44.1,-09,36,34
lbn22,16,28,44.0,-09,31,34
lbn23,15,48,35.6,-01,57,08
lbn24,16,32,44.7,-10,06,18
lbn25,18,04,04.0,-24,19,49
lbn26,18,05,04.0,-24,19,45
lbn27,18,02,02.1,-22,59,58
lbn28,18,10,03.5,-23,59,23
lbn29,18,10,03.5,-23,59,23
lbn30,16,24,41.7,-07,26,50
lbn31,18,08,02.8,-23,26,31
lbn32,16,32,43.1,-08,36,18
lbn33,18,11,03.2,-23,44,18
lbn34,18,09,02.7,-23,26,27
lbn35,16,35,43.6,-09,01,06
lbn36,16,00,35.4,-01,38,24
lbn37,16,00,35.4,-01,38,24
lbn38,18,08,00.8,-21,59,32
lbn39,16,36,42.3,-07,51,02
lbn40,18,09,00.1,-21,29,27
lbn41,20,03,09.0,-31,21,33
lbn42,18,15,58.5,-20,18,57
lbn43,18,16,57.7,-19,43,52
lbn44,16,06,33.3,+00,21,59
lbn45,16,06,33.3,+00,21,59
lbn46,18,16,57.6,-19,38,52
lbn47,18,16,57.4,-19,28,52
lbn48,18,08,55.7,-18,09,27
lbn49,18,11,55.1,-17,44,14
lbn50,18,06,54.2,-16,59,36
lbn51,18,15,55.4,-17,58,57
lbn52,18,19,55.4,-17,58,39
lbn53,18,10,53.8,-16,39,19
lbn54,20,03,04.3,-27,51,33
lbn55,18,15,53.7,-16,38,57
lbn56,18,15,53.7,-16,38,57
lbn57,18,17,52.9,-15,58,48
lbn58,18,05,50.6,-14,09,41
lbn59,18,16,52.3,-15,28,53
lbn60,18,20,52.9,-15,58,35
lbn61,18,12,51.0,-14,29,10
lbn62,18,20,51.4,-14,48,35
lbn63,18,30,52.8,-15,57,52
lbn64,18,22,51.2,-14,38,26
lbn65,18,40,53.7,-16,47,08
lbn66,18,25,51.4,-14,48,13
lbn67,18,18,50.2,-13,48,44
lbn68,18,19,50.3,-13,53,40
lbn69,18,33,52.1,-15,27,39
lbn70,18,19,49.1,-12,58,40
lbn71,18,18,48.5,-12,28,44
lbn72,18,17,47.9,-11,58,48
lbn73,18,32,47.6,-11,45,43
lbn74,18,32,47.6,-11,45,43
lbn75,18,31,46.4,-10,47,47
lbn76,18,31,46.4,-10,47,47
lbn77,18,30,45.0,-09,37,52
lbn78,18,30,43.9,-08,37,52
lbn79,18,31,43.7,-08,27,48
lbn80,18,36,42.6,-07,37,26
lbn81,18,34,41.8,-06,52,35
lbn82,18,36,41.5,-06,37,26
lbn83,19,45,49.8,-14,52,39
lbn84,18,33,39.5,-04,57,39
lbn85,18,27,38.2,-03,48,05
lbn86,19,57,48.8,-14,21,52
lbn87,19,45,47.4,-12,42,39
lbn88,17,18,26.7,+06,06,54
lbn89,19,45,46.8,-12,12,39
lbn90,18,31,36.3,-02,07,48
lbn91,18,46,38.1,-03,43,43
lbn92,18,45,36.0,-01,56,47
lbn93,18,24,32.8,+00,51,42
lbn94,18,49,36.5,-02,19,30
lbn95,18,34,33.8,+00,02,25
lbn96,18,30,32.6,+01,02,08
lbn97,18,31,32.4,+01,13,12
lbn98,18,31,32.2,+01,22,12
lbn99,18,43,34.1,-00,16,56
lbn100,19,45,41.6,-07,22,39
lbn101,19,45,40.0,-05,52,39
lbn102,18,14,25.5,+07,03,58
lbn103,19,01,31.4,+02,09,21
lbn104,19,04,31.1,+02,24,33
lbn105,16,10,10.0,+21,52,14
lbn106,16,13,10.0,+21,42,25
lbn107,18,54,26.9,+06,02,51
lbn108,20,02,35.7,-01,51,34
lbn109,19,09,27.6,+05,34,54
lbn110,18,56,24.9,+07,48,59
lbn111,20,13,35.2,-01,20,53
lbn112,20,46,38.8,-05,38,58
lbn113,20,13,34.7,-00,50,53
lbn114,20,31,36.2,-02,29,49
lbn115,20,25,35.3,-01,30,10
lbn116,20,11,34.2,-00,21,00
lbn117,21,14,39.9,-07,47,31
lbn118,20,54,37.9,-04,48,32
lbn119,20,27,34.6,-00,50,03
lbn120,20,33,35.1,-01,19,42
lbn121,20,36,34.6,-00,49,32
lbn122,20,25,33.1,+00,50,50
lbn123,20,27,32.8,+01,09,57
lbn124,20,32,34.1,-00,12,45
lbn125,20,31,32.6,+01,20,11
lbn126,19,49,21.8,+11,27,36
lbn127,19,11,14.6,+16,50,02
