name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pgc1,0,0,0.782,0,42,0.03
pgc2,0,0,1.885,47,16,27.78
pgc3,0,0,2.683,-18,1,6.87
pgc4,0,0,3.583,23,5,14.9
pgc5,0,0,3.583,32,44,41.85
pgc6,0,0,3.682,15,52,41.94
pgc7,0,0,4.482,0,4,58.97
pgc8,0,0,5.199,-77,20,11.67
pgc9,0,0,7.799,-77,20,14.67
pgc10,0,0,7.882,0,2,25.97
pgc11,0,0,8.299,-77,20,23.67
pgc12,0,0,8.682,-6,22,28.93
pgc13,0,0,9.583,33,8,41.84
pgc14,0,0,9.782,8,16,41.98
pgc15,0,0,9.882,-5,11,17.94
pgc16,0,0,9.882,-5,8,17.94
pgc17,0,0,10.482,4,55,51.0
pgc18,0,0,12.984,46,57,54.78
pgc19,0,0,14.793,-72,10,41.67
pgc20,0,0,15.782,1,8,42.02
pgc21,0,0,15.882,-2,38,17.95
pgc22,0,0,16.293,-72,9,41.67
pgc23,0,0,21.282,-2,36,37.95
pgc24,0,0,21.583,32,46,41.85
pgc25,0,0,21.683,22,59,41.9
pgc26,0,0,21.782,-7,52,17.92
pgc27,0,0,21.782,-6,54,17.93
pgc28,0,0,22.283,20,47,47.91
pgc29,0,0,22.483,34,36,57.84
pgc30,0,0,22.507,-80,47,29.67
pgc31,0,0,23.084,-47,1,49.73
pgc32,0,0,24.085,-49,4,23.73
pgc33,0,0,26.782,-18,50,30.86
pgc34,0,0,27.385,-49,4,28.73
pgc35,0,0,27.584,39,30,41.81
pgc36,0,0,27.683,32,47,41.85
pgc37,0,0,27.683,26,17,41.88
pgc38,0,0,27.782,17,13,41.93
pgc39,0,0,27.782,7,50,41.99
pgc40,0,0,27.782,-1,45,17.96
pgc41,0,0,27.782,-5,46,17.94
pgc42,0,0,27.984,-42,33,34.75
pgc43,0,0,28.984,-40,28,59.76
pgc44,0,0,31.085,-50,9,0.72
pgc45,0,0,31.085,-50,9,5.72
pgc46,0,0,31.382,-5,46,17.94
pgc47,0,0,31.483,26,19,31.88
pgc48,0,0,33.683,32,46,41.85
pgc49,0,0,33.683,22,46,41.9
pgc50,0,0,34.284,-40,34,53.76
pgc51,0,0,34.984,-40,34,35.76
pgc52,0,0,37.483,36,10,52.83
pgc53,0,0,37.983,20,3,32.92
pgc54,0,0,38.283,28,23,5.87
pgc55,0,0,39.683,33,36,41.84
pgc56,0,0,41.682,-5,47,33.94
pgc57,0,0,42.583,28,22,8.87
pgc58,0,0,44.283,28,24,4.87
pgc59,0,0,44.483,36,52,8.83
pgc60,0,0,45.383,28,22,17.87
pgc61,0,0,45.782,-5,34,17.94
pgc62,0,0,46.499,-77,34,47.67
pgc63,0,0,46.783,28,24,9.87
pgc64,0,0,52.083,-35,50,39.78
pgc65,0,0,52.884,-47,21,17.73
pgc66,0,0,53.083,-35,59,12.78
pgc67,0,0,53.885,-49,31,7.73
pgc68,0,0,54.882,-18,57,29.86
pgc69,0,0,55.884,-40,42,41.76
pgc70,0,0,57.782,20,20,41.91
pgc71,0,0,57.783,34,38,41.84
pgc72,0,0,57.782,2,52,42.01
pgc73,0,0,57.883,-33,36,41.79
pgc74,0,0,58.283,33,20,37.84
pgc75,0,1,2.884,-43,19,47.75
pgc76,0,1,2.883,28,54,41.87
pgc77,0,1,3.783,34,38,41.84
pgc78,0,1,3.782,13,10,41.95
pgc79,0,1,3.782,4,27,42.01
pgc80,0,1,3.782,4,30,42.0
pgc81,0,1,3.782,6,13,41.99
pgc82,0,1,5.885,-53,59,29.71
pgc83,0,1,6.583,32,22,40.85
pgc84,0,1,6.885,-52,13,5.72
pgc85,0,1,7.785,-50,15,49.72
pgc86,0,1,8.583,33,6,52.84
pgc87,0,1,9.785,-50,35,6.72
pgc88,0,1,10.585,-52,12,16.72
pgc89,0,1,13.582,13,8,37.95
pgc90,0,1,13.884,-44,0,41.75
pgc91,0,1,14.283,34,40,32.84
pgc92,0,1,15.182,13,6,44.95
pgc93,0,1,15.285,-50,47,36.72
pgc94,0,1,15.806,80,39,41.68
pgc95,0,1,15.783,36,58,41.82
pgc96,0,1,15.782,6,19,41.99
pgc97,0,1,15.782,13,6,41.95
pgc98,0,1,16.582,0,2,7.03
pgc99,0,1,17.785,-53,0,29.71
pgc100,0,1,18.783,-27,25,5.82
pgc101,0,1,19.782,13,6,41.95
pgc102,0,1,19.983,34,31,32.84
pgc103,0,1,21.782,18,11,41.93
pgc104,0,1,21.782,18,11,41.93
pgc105,0,1,21.782,20,51,38.91
pgc106,0,1,22.782,-17,16,35.87
pgc107,0,1,23.483,32,22,38.85
pgc108,0,1,26.182,13,6,45.95
pgc109,0,1,26.583,31,26,1.85
pgc110,0,1,27.782,5,21,42.0
pgc111,0,1,27.883,31,26,41.85
pgc112,0,1,30.283,31,26,32.85
pgc113,0,1,32.583,-33,45,33.79
pgc114,0,1,33.783,-36,18,59.78
pgc115,0,1,33.782,-4,18,17.94
pgc116,0,1,33.782,9,0,41.98
pgc117,0,1,33.782,11,20,41.97
pgc118,0,1,33.782,15,5,41.94
pgc119,0,1,36.083,33,33,44.84
pgc120,0,1,37.883,23,29,4.9
pgc121,0,1,38.683,26,55,21.88
pgc122,0,1,39.684,-40,48,17.76
pgc123,0,1,39.782,-14,44,17.88
