name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pk119+06.1,0,12,54,69,11,0
pk120+09.1,0,13,0,72,32,0
pk118-08.1,0,18,42,53,53,0
pk119+00.1,0,19,54,62,59,0
pk119-06.1,0,28,18,55,58,0
pk120-05.1,0,31,48,57,23,0
pk108-76.1,0,37,12,-13,43,0
pk121+03.1,0,38,54,66,23,0
pk121+00.1,0,40,18,62,51,0
pk122-04.1,0,45,36,57,57,0
pk118-74.1,0,47,0,-11,53,0
pk125-47.1,0,59,54,15,44,0
pk124-07.1,1,0,54,55,4,0
pk124+02.1,1,2,24,65,46,0
pk124+10.1,1,7,6,73,33,0
pk126+03.1,1,24,54,65,39,0
pk128-04.1,1,30,30,58,24,0
pk130-11.1,1,37,18,50,28,0
pk129-05.1,1,40,6,56,35,0
pk130-10.1,1,42,24,51,34,0
pk129-02.1,1,42,36,60,10,0
pk131-05.1,1,53,0,56,25,0
pk130+01.1,1,57,36,63,20,0
pk129+04.1,1,58,36,66,34,0
pk148-48.1,1,58,0,10,57,0
pk133-08.1,1,58,48,52,54,0
pk130+03.1,2,3,42,64,57,0
pk131+02.1,2,12,6,64,9,0
pk132+04.1,2,26,30,65,47,0
pk144-15.1,2,45,24,42,34,0
pk141-07.1,2,52,18,50,36,0
pk136+04.1,2,58,42,64,30,0
pk255-59.1,2,57,0,-44,10,0
pk136+05.1,3,3,48,64,54,0
pk138+02.1,3,10,18,61,19,0
pk138+04.1,3,11,0,62,48,0
pk147-09.1,3,16,36,46,54,0
pk149-09.1,3,27,12,45,24,0
pk220-53.1,3,33,12,-25,52,0
pk142+03.1,3,36,6,60,4,0
pk147-02.1,3,41,42,52,17,0
pk156-13.1,3,45,30,37,48,0
pk159-15.1,3,47,30,35,3,0
pk149-03.1,3,49,6,50,0,0
pk171-25.1,3,53,36,19,30,0
pk161-14.1,3,56,24,33,53,0
pk144+06.1,4,7,0,60,55,0
pk165-15.1,4,9,12,30,47,0
pk147+04.1,4,13,18,56,57,0
pk151+00.1,4,13,24,51,51,0
pk206-40.1,4,14,12,-12,44,0
pk153-01.1,4,15,54,48,49,0
pk149+04.1,4,20,48,56,18,0
pk137+16.1,4,25,12,72,49,0
pk146+07.1,4,25,48,60,7,0
pk167-09.1,4,36,42,33,39,0
pk160-02.1,4,37,18,42,47,0
pk174-14.1,4,37,18,25,3,0
pk165-06.1,4,39,48,36,46,0
pk166-06.1,4,42,54,36,7,0
pk158+00.1,4,43,24,46,42,0
pk160-00.1,4,46,42,44,28,0
pk163-00.1,4,54,30,42,17,0
pk215-30.1,5,3,12,-15,37,0
pk205-26.1,5,3,42,-6,10,0
pk243-37.1,5,3,6,-39,46,0
pk190-17.1,5,5,36,10,42,0
pk167-00.1,5,6,36,39,8,0
pk173-05.1,5,7,6,30,49,0
pk215-24.1,5,27,30,-12,42,0
pk172+00.1,5,29,0,36,3,0
pk203-18.1,5,28,54,0,41,0
pk178-02.1,5,31,36,28,59,0
pk197-14.1,5,31,48,6,56,0
pk156+12.1,5,38,0,55,32,0
pk170+04.1,5,41,24,39,15,0
pk193-09.1,5,40,42,12,22,0
pk173+03.1,5,42,36,36,9,0
pk196-10.1,5,42,6,9,5,0
pk184-02.1,5,46,54,24,22,0
pk204-13.1,5,47,36,0,39,0
pk181+00.1,5,52,54,28,6,0
pk166+10.1,5,56,24,46,6,0
pk228-22.1,5,55,6,-22,54,0
pk193-04.1,5,57,12,15,25,0
pk184+00.1,5,58,48,25,19,0
pk197-06.1,5,59,24,10,42,0
pk286-29.1,5,57,0,-75,41,0
pk198-06.1,6,2,24,9,39,0
pk243-25.1,6,2,6,-37,25,0
pk204-08.1,6,4,48,3,57,0
pk197-03.1,6,11,12,11,47,0
pk184+04.1,6,13,54,26,53,0
pk201-04.1,6,14,36,7,34,0
pk183+05.1,6,16,12,28,22,0
pk208-07.1,6,16,18,0,0,0
pk158+17.1,6,19,36,55,37,0
pk221-12.1,6,21,42,-12,59,0
pk204-03.1,6,23,54,5,30,0
pk218-10.1,6,23,42,-10,14,0
pk240-19.1,6,24,36,-33,5,0
pk194+02.1,6,25,54,17,47,0
pk233-16.1,6,27,0,-25,23,0
pk170+15.1,6,34,12,44,47,0
pk211-03.1,6,35,48,0,6,0
pk189+07.1,6,37,24,24,0,0
pk228-11.1,6,37,42,-18,58,0
pk201+02.1,6,40,0,11,6,0
pk192+07.1,6,40,12,21,25,0
pk216-04.1,6,41,36,-5,3,0
pk153+22.1,6,43,54,61,47,0
pk197+05.1,6,43,24,16,49,0
pk210-00.2,6,44,36,1,19,0
pk208+01.1,6,47,6,4,38,0
pk221-04.1,6,48,42,-9,32,0
pk233-10.1,6,50,42,-22,27,0
pk204+04.1,6,52,36,9,58,0
pk210+01.1,6,53,30,3,8,0
pk222-04.1,6,54,18,-10,46,0
pk236-10.1,6,54,18,-25,25,0
pk239-12.1,6,55,12,-29,8,0
pk216-00.1,6,56,12,-2,53,0
