name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
sh2-1,15,58,50.8,-26,7,14
sh2-2,17,4,6.5,-38,8,33
sh2-3,17,13,44.7,-38,30,11
sh2-4,17,19,48.5,-39,20,19
sh2-5,17,20,2.9,-38,27,17
sh2-6,17,15,3.2,-37,6,60
sh2-7,16,0,19.1,-22,57,3
sh2-8,17,21,24.5,-36,2,5
sh2-9,16,21,10.6,-25,35,22
sh2-10,17,18,59.1,-34,5,26
sh2-11,17,26,30.6,-34,12,20
sh2-12,17,35,55.2,-32,35,58
sh2-13,17,30,28.4,-31,33,46
sh2-14,17,30,18.3,-30,15,46
sh2-15,17,50,34.2,-31,15,50
sh2-16,17,47,52.1,-29,18,14
sh2-17,17,46,8.4,-28,51,28
sh2-18,17,48,45.1,-29,15,6
sh2-19,17,49,20.9,-29,7,1
sh2-20,17,49,14.2,-28,40,2
sh2-21,17,51,38.6,-28,53,40
sh2-22,17,55,2.9,-25,2,10
sh2-23,16,13,24.4,-8,22,20
sh2-24,16,11,3.0,-7,4,38
sh2-25,18,5,25.0,-24,23,39
sh2-26,17,58,58.5,-23,19,35
sh2-27,16,37,12.3,-10,34,11
sh2-28,18,2,40.9,-23,35,3
sh2-29,18,10,30.5,-23,59,55
sh2-30,18,3,34.1,-23,0,55
sh2-31,18,11,18.2,-23,47,48
sh2-32,18,10,53.0,-23,38,51
sh2-33,15,59,52.3,-1,37,3
sh2-34,18,6,24.3,-21,39,31
sh2-35,18,15,50.3,-20,15,7
sh2-36,16,5,30.3,0,23,40
sh2-37,18,17,42.6,-19,39,51
sh2-38,18,8,44.8,-18,16,9
sh2-39,18,16,46.2,-18,38,59
sh2-40,18,12,2.1,-17,44,41
sh2-41,18,15,50.7,-18,14,7
sh2-42,18,10,16.9,-16,48,55
sh2-43,18,16,24.6,-17,24,2
sh2-44,18,16,28.8,-16,44,1
sh2-45,18,20,46.0,-16,10,24
sh2-46,18,6,10.6,-14,9,31
sh2-47,18,17,44.4,-15,36,50
sh2-48,18,22,24.1,-14,35,9
sh2-49,18,18,40.3,-13,57,42
sh2-50,18,25,30.2,-14,42,42
sh2-51,18,40,46.3,-16,33,30
sh2-52,19,47,46.3,-23,5,15
sh2-53,18,25,14.4,-13,13,44
sh2-54,18,17,52.6,-11,43,48
sh2-55,18,32,10.5,-11,45,44
sh2-56,18,31,6.1,-9,42,52
sh2-57,18,30,32.8,-8,36,58
sh2-58,18,31,26.6,-8,27,50
sh2-59,18,37,0.6,-7,36,1
sh2-60,18,36,40.5,-6,42,4
sh2-61,18,32,54.5,-5,0,36
sh2-62,18,27,34.2,-3,51,22
sh2-63,19,57,42.5,-14,6,57
sh2-64,18,31,35.0,-1,54,47
sh2-65,18,46,58.0,-3,44,35
sh2-66,18,45,30.0,-1,59,47
sh2-67,18,49,24.4,-2,21,13
sh2-68,18,25,10.8,0,51,17
sh2-69,18,44,26.1,-0,16,55
sh2-70,18,14,38.5,7,3,47
sh2-71,19,2,2.3,2,9,35
sh2-72,19,3,50.2,2,18,50
sh2-73,16,11,6.9,21,52,26
sh2-74,19,8,48.5,5,36,32
sh2-75,18,59,14.7,7,7,12
sh2-76,18,56,24.9,7,48,48
